global_semantic_similarity,num_edits,original_length,edited_length
0.8377665877342224,2,303,387
0.8619450330734253,2,676,695
0.7618566751480103,3,191,325
0.8368086218833923,2,539,566
0.2714250385761261,1,1293,37
0.24829447269439697,1,37,1288
0.8562352657318115,4,1290,1119
0.8299577832221985,2,693,673
0.8507440090179443,6,1288,1297
0.8290857076644897,8,1436,1472
0.7602822184562683,11,1373,962
0.8332603573799133,9,959,996
0.7995438575744629,8,944,763
0.7677625417709351,7,691,680
0.8389358520507812,5,681,679
0.8254249095916748,3,512,496
0.8305239081382751,11,1188,1203
0.39102962613105774,5,740,68
0.8413540720939636,9,966,1254
0.7778130769729614,5,646,596
0.6958239674568176,9,1818,1238
0.8380205035209656,5,1218,1270
0.41960546374320984,1,505,31
0.7741010189056396,4,483,482
0.6973902583122253,7,1237,877
0.8446932435035706,7,879,1093
0.7642042636871338,7,923,1078
0.8707602024078369,8,889,1190
0.5306593179702759,5,1579,1427
0.8264986872673035,14,1082,1625
0.8475667238235474,2,495,651
0.8156067728996277,3,652,717
0.8598718047142029,5,1243,1229
0.8572957515716553,3,1623,1721
0.839227020740509,5,628,665
0.6903570294380188,8,961,1289
0.8061960935592651,3,423,579
0.7753903865814209,9,905,1018
0.8157614469528198,3,727,337
0.8558487296104431,2,663,760
0.723417341709137,5,1657,1305
0.8614466190338135,4,1034,1048
0.831482470035553,2,407,609
0.7386004328727722,2,608,525
0.8682682514190674,4,525,668
0.7106799483299255,3,642,584
0.8446062207221985,3,980,1397
0.8274750709533691,6,1398,1480
0.6711732745170593,8,842,1033
0.6496212482452393,3,937,1070
0.6688263416290283,7,1071,761
0.7451727390289307,8,762,1109
0.846615731716156,4,789,840
0.6482651829719543,5,490,625
0.6107956767082214,10,839,981
0.81368488073349,6,841,665
0.8288101553916931,5,669,640
0.8185873031616211,7,841,680
0.8370482325553894,2,960,736
0.8392112255096436,1,742,738
0.7084685564041138,10,840,707
0.8571079969406128,4,787,785
0.6945692896842957,3,1221,1339
0.7354188561439514,7,1001,1362
0.7372138500213623,7,1329,1169
0.820229172706604,12,1248,1452
0.6803426742553711,4,478,836
0.8158290386199951,6,1262,1339
0.8598582148551941,3,967,966
0.6089547276496887,2,132,684
0.8546876907348633,7,842,873
0.5116029381752014,2,1857,1611
0.7985540628433228,6,1611,989
0.6777731776237488,4,1349,978
0.8246745467185974,3,659,672
0.6637506484985352,7,447,650
0.8565148711204529,5,1122,1149
0.8369650840759277,1,921,922
0.8390551209449768,4,923,921
0.7126281261444092,3,418,359
0.7999994158744812,11,629,684
0.6287055015563965,4,944,595
0.846964418888092,2,708,712
0.8364756107330322,7,667,691
0.820877194404602,5,692,856
0.8207958340644836,11,1327,1017
0.8240535259246826,2,1016,1164
0.7963069081306458,8,592,657
0.864231288433075,4,998,1032
0.8717290759086609,6,1034,1292
0.8479906320571899,2,862,960
0.5951988697052002,4,630,1199
0.8299988508224487,6,1197,1161
0.8314294815063477,5,1162,1170
0.673973023891449,3,1171,1053
0.5335512161254883,5,1058,943
0.844575822353363,2,664,673
0.8036217093467712,12,1440,1244
0.8150860071182251,8,1037,687
0.7893134951591492,9,611,782
0.8314794301986694,9,956,834
0.8287580609321594,6,1223,1741
