global_human_like_perplexity,num_edits,sequence_length,original_length
1.2986868619918823,2,83,303
1.1290874481201172,2,118,676
1.6371791362762451,3,49,191
1.2429572343826294,2,106,539
1.0629220008850098,1,221,1293
2.7036659717559814,1,8,37
1.1846810579299927,4,216,1290
1.0763533115386963,2,133,693
1.1968967914581299,6,275,1288
1.237336277961731,8,291,1436
1.6003957986831665,11,238,1373
1.7255874872207642,9,202,959
1.8988879919052124,8,171,944
1.686570644378662,7,150,691
1.3095446825027466,5,125,681
1.3019540309906006,3,91,512
1.9150906801223755,11,257,1188
1.1664575338363647,5,173,740
1.5461218357086182,9,193,966
1.4515056610107422,5,121,646
1.400111436843872,9,371,1818
1.1755951642990112,5,237,1218
1.1363656520843506,1,95,505
1.6123958826065063,4,93,483
1.7184932231903076,7,286,1237
1.3530528545379639,7,188,879
1.7941592931747437,7,227,923
1.3210411071777344,8,199,889
1.3663101196289062,5,402,1579
1.7423902750015259,14,237,1082
1.1393030881881714,2,89,495
1.209908366203308,3,118,652
1.161900520324707,5,231,1243
1.121263027191162,3,327,1623
1.5511553287506104,5,114,628
1.8839868307113647,8,165,961
1.4782817363739014,3,83,423
1.6509956121444702,9,229,905
1.2367939949035645,3,145,727
1.084614634513855,2,130,663
1.1986844539642334,5,289,1657
1.1396358013153076,4,207,1034
1.1506553888320923,2,78,407
1.4004617929458618,2,123,608
1.2838435173034668,4,98,525
1.3966714143753052,3,163,642
1.08226478099823,3,177,980
1.4510080814361572,6,252,1398
1.7715293169021606,8,192,842
1.5829730033874512,3,181,937
1.507981777191162,7,218,1071
1.7205479145050049,8,170,762
1.1758124828338623,4,164,789
1.5706464052200317,5,116,490
1.708818793296814,10,173,839
1.552072525024414,6,172,841
1.1198304891586304,5,134,669
1.4741250276565552,7,150,841
1.1101126670837402,2,174,960
1.1285114288330078,1,145,742
1.6949725151062012,10,161,840
1.1017975807189941,4,151,787
1.1741822957992554,3,250,1221
1.4159692525863647,7,261,1001
1.3925780057907104,7,225,1329
1.3281700611114502,12,301,1248
1.3381948471069336,4,84,478
1.6352096796035767,6,263,1262
1.1236963272094727,3,187,967
2.464189291000366,2,26,132
1.1600613594055176,7,149,842
1.2064359188079834,2,351,1857
1.3082325458526611,6,298,1611
1.4050283432006836,4,295,1349
1.1521621942520142,3,136,659
1.7799776792526245,7,97,447
1.1870968341827393,5,217,1122
1.0499027967453003,1,167,921
1.2221918106079102,4,165,923
1.9025079011917114,3,80,418
2.1617538928985596,11,122,629
1.566706657409668,4,193,944
1.1328080892562866,2,133,708
1.3288664817810059,7,155,667
1.2730013132095337,5,161,692
1.685623049736023,11,233,1327
1.1617999076843262,2,178,1016
1.8139772415161133,8,119,592
1.0811883211135864,4,225,998
1.1900091171264648,6,231,1034
1.259451150894165,2,140,862
1.5987699031829834,4,139,630
1.19394052028656,6,216,1197
1.135403037071228,5,208,1162
1.1834343671798706,3,209,1171
1.5400266647338867,5,232,1058
1.0836944580078125,2,116,664
1.4702385663986206,12,275,1440
1.6296164989471436,8,195,1037
1.7014740705490112,9,130,611
1.6937423944473267,9,181,956
1.2247343063354492,6,281,1223
1.3571988344192505,10,239,1078
1.725609540939331,7,118,713
1.8541861772537231,9,151,796
1.1709953546524048,3,162,760
1.4343469142913818,10,208,1101
1.4164199829101562,9,201,1063
1.666725993156433,6,220,946
1.555152177810669,3,197,860
1.2257671356201172,6,216,857
1.084580898284912,3,219,1170
1.0002083778381348,2,240,1318
1.2587480545043945,10,340,1408
1.1536544561386108,2,98,504
1.1982364654541016,3,175,905
1.0002166032791138,2,187,976
1.5588343143463135,4,135,477
1.2761751413345337,2,174,955
1.4029974937438965,8,127,706
2.0773651599884033,9,127,644
1.6618541479110718,11,191,1071
1.2619162797927856,3,107,610
1.505580186843872,5,88,480
1.2555614709854126,3,153,863
1.3677341938018799,10,209,1136
1.451156497001648,10,226,996
1.1307778358459473,3,249,1363
1.3257300853729248,5,222,1213
1.5688530206680298,5,110,508
1.0898919105529785,2,113,487
1.1445660591125488,2,95,418
1.153261423110962,4,105,470
1.1443305015563965,1,170,919
1.317240595817566,4,96,528
1.365586757659912,3,153,732
1.2655489444732666,2,121,612
1.4272338151931763,11,257,1408
2.1074490547180176,8,180,714
1.4552910327911377,11,299,1219
1.6205023527145386,13,284,1240
1.1189289093017578,3,160,794
1.357975959777832,7,387,1335
1.0597193241119385,2,225,1222
1.0514847040176392,2,265,1370
1.0514847040176392,2,265,1368
1.299443244934082,6,180,998
1.3688971996307373,7,188,1024
1.1925123929977417,5,191,1034
1.54225492477417,17,296,1678
1.3715136051177979,5,106,504
1.414215087890625,4,75,373
1.667411208152771,3,260,1237
1.4284260272979736,5,266,1013
1.3748672008514404,15,294,1322
1.3464078903198242,7,187,1120
1.3706802129745483,4,332,1573
1.7790127992630005,12,212,1249
1.4795764684677124,8,232,1107
